Colombia - OECD Tourism Trends and Policies 2026	/content/dam/oecd/en/publications/reports/2026/06/oecd-tourism-trends-and-policies-2026_13326fe2/3fd3cd75-en.pdf
OECD Survey on Drivers of Trust in Public Institutions 2026 - Colombia	/content/dam/oecd/en/publications/reports/2026/06/oecd-survey-on-drivers-of-trust-in-public-institutions-2026-results-country-notes_6dae3a76/colombia_8eccb8a4/0a6d05a3-en.pdf
Development Co-operation Profiles - Colombia	/content/dam/oecd/en/publications/reports/2025/06/development-co-operation-profiles_02ffa45c/colombia_bf948740/32c7d65f-en.pdf
Digital Government Outlook 2026 - Colombia	/content/dam/oecd/en/publications/reports/2026/06/digital-government-outlook-2026-country-notes_296a844f/colombia_f76a28ad/cc2c0193-en.pdf
Anticipating and monitoring water risks for agriculture in Colombia	/content/dam/oecd/en/publications/reports/2026/04/tad-case-studies_a57155d5/anticipating-and-monitoring-water-risks-for-agriculture-in-colombia_5f0a18ee/f78797f8-en.pdf
Colombia - OECD Economic Outlook 2026 Issue 1	/content/dam/oecd/en/publications/reports/2026/06/oecd-economic-outlook-volume-2026-issue-1_8be0dba6/2d1956f0-en.pdf
Trade in Value Added - Colombia	/content/dam/oecd/en/publications/reports/2026/06/trade-in-value-added-country-notes_b71e7fb9/colombia_59286296/189a8b9f-en.pdf
Revenue Statistics in LAC 2026 - Colombia	/content/dam/oecd/en/publications/reports/2026/04/revenue-statistics-in-latin-america-and-the-caribbean-2026-country-notes_968b866c/colombia_e788acc6/4ac46314-en.pdf
Taxing Wages 2026 - Colombia	/content/dam/oecd/en/publications/reports/2026/04/taxing-wages-2026-country-notes_491a0e97/colombia_87cf8c32/b5a53336-en.pdf
Colombia - Taxing Wages 2026 full	/content/dam/oecd/en/publications/reports/2026/04/taxing-wages-2026_d1f39986/3a5169ef-en.pdf
Colombia - Foundations for Growth and Competitiveness 2026	/content/dam/oecd/en/publications/reports/2026/04/foundations-for-growth-and-competitiveness-2026_f68a156b/40a7532f-en.pdf
Anti-Corruption and Integrity Outlook 2026 - Colombia	/content/dam/oecd/en/publications/reports/2026/03/anti-corruption-and-integrity-outlook-2026-country-notes_b1df9263/colombia_69cd24e3/4db85a15-en.pdf
Services Trade Restrictiveness Index 2026 - Colombia	/content/dam/oecd/en/publications/reports/2026/02/oecd-services-trade-restrictiveness-index-2026-country-notes_260daa58/colombia_31fac474/2670da1b-en.pdf
Effective Carbon Rates 2025 - Colombia	/content/dam/oecd/en/publications/reports/2026/02/effective-carbon-rates-2025-country-notes_b08aeef1/colombia_9a882261/953f3b69-en.pdf
Colombia - Harmful Tax Practices 2024 Peer Review	/content/dam/oecd/en/publications/reports/2025/12/harmful-tax-practices-2024-peer-review-reports-on-the-exchange-of-information-on-tax-rulings_d946da36/c069a357-en.pdf
Revenue Statistics 2025 - Colombia	/content/dam/oecd/en/publications/reports/2025/12/revenue-statistics-2025-country-notes_3708be73/colombia_3487a1a1/7fe4ccaa-en.pdf
TALIS Starting Strong 2024 - Colombia	/content/dam/oecd/en/publications/reports/2025/11/results-from-talis-starting-strong-2024-country-notes_aafa21dc/colombia_ed950cdd/ee750064-en.pdf
Colombia - OECD Economic Outlook 2025 Issue 2	/content/dam/oecd/en/publications/reports/2025/12/oecd-economic-outlook-volume-2025-issue-2_413f7d0a/9f653ca1-en.pdf
Tax Administration 2025 - Colombia	/content/dam/oecd/en/publications/reports/2025/11/tax-administration-2025-country-notes_16fbc1b7/colombia_8aefea7f/3dc1762d-en.pdf
EU integrated support to peace in Colombia	/content/dam/oecd/en/publications/reports/2021/03/development-co-operation-tips-tools-insights-practices_d307b396/eu-integrated-support-to-peace-in-colombia_2bb1a0e8/32f3b2fe-en.pdf
Health at a Glance 2025 - Colombia	/content/dam/oecd/en/publications/reports/2025/11/health-at-a-glance-2025-country-notes_2f94481e/colombia_10cda4ee/971e6076-en.pdf
Colombia - Latin American Economic Outlook 2025	/content/dam/oecd/en/publications/reports/2025/11/latin-american-economic-outlook-2025_6bb4d44e/80e48de5-en.pdf
Colombia - International Migration Outlook 2025	/content/dam/oecd/en/publications/reports/2025/11/international-migration-outlook-2025_355ae9fd/ae26c893-en.pdf
TALIS 2024 - Colombia	/content/dam/oecd/en/publications/reports/2025/10/results-from-talis-2024-country-notes_eafd703e/colombia_04c7b413/8f1df220-en.pdf
Corporate Governance Factbook 2025 - Colombia	/content/dam/oecd/en/publications/reports/2025/09/oecd-corporate-governance-factbook-2025-country-notes_e5150ab3/colombia_ddad41f8/c606b6d7-en.pdf
Education at a Glance 2025 - Colombia	/content/dam/oecd/en/publications/reports/2025/09/education-at-a-glance-2025-country-notes_9749f4ff/colombia_46c9e462/32e069b7-en.pdf
Government at a Glance 2025 - Colombia	/content/dam/oecd/en/publications/reports/2025/06/government-at-a-glance-2025-country-notes_9de36e82/colombia_581468bd/87c14c31-en.pdf
Colombia - OECD Economic Outlook 2025 Issue 1	/content/dam/oecd/en/publications/reports/2025/06/oecd-economic-outlook-volume-2025-issue-1_1fd979a8/83363382-en.pdf
Revenue Statistics in LAC 2025 - Colombia	/content/dam/oecd/en/publications/reports/2025/05/revenue-statistics-in-latin-america-and-the-caribbean-2025-country-notes_29961c77/colombia_c5cf926b/fe341f27-en.pdf
Creative minds in action	/content/dam/oecd/en/publications/reports/2025/05/creative-minds-in-action_8012a11b/5b718eb2-en.pdf
Taxing Wages 2025 - Colombia	/content/dam/oecd/en/publications/reports/2025/04/taxing-wages-2025-country-notes_16d47563/colombia_511db0ad/4d618d8e-en.pdf
